date,open,high,low,close,volume,sma_50,sma_200,rsi_14,macd,macd_signal,volatility_20d,bb_upper,bb_lower,return_1d,fiscal_year,year,month,revenue_total,revenue_iphone,revenue_services,revenue_mac
02-10-2017,35.997033133613364,36.04137077410554,35.63767107397056,35.892024993896484,74795200,36.69570274353028,33.28843048095703,31.839187430780427,-0.340104558,-0.212684809,0.871338554,38.40161437096655,34.916260156010985,-0.002010959,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
03-10-2017,35.93869417,36.19071583343296,35.91536100318529,36.048370361328125,64921200,36.70963356018066,33.33519821166992,36.300993667212445,-0.322264927,-0.234600833,0.8363001547901078,38.24286379072036,34.89766317155992,0.004355992,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
04-10-2017,35.85001515000581,35.90368533,35.57699262348722,35.81501007080078,80655200,36.71587532043457,33.38062627792358,37.02689806,-0.32323111,-0.252326888,0.8012082044546711,38.074321735752605,34.86948891793392,-0.006473532,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
05-10-2017,35.97835684276088,36.27238384448962,35.948023379917835,36.26071548461914,85135200,36.72768409729004,33.427510776519775,38.06482451146965,-0.284749697,-0.25881145,0.754117837,37.91165135406923,34.89518000579405,0.012444654,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
06-10-2017,36.16271247830708,36.28405703,36.06703689960718,36.23971939086914,69630400,36.75255462646484,33.47393301010132,40.47485932849165,-0.253030333,-0.257655226,0.7407524248993119,37.84606745661015,34.88305776,-0.000579031,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
09-10-2017,36.35872616660943,36.57341047456525,36.28405506677792,36.36572647094727,65051600,36.784872970581056,33.52085849761963,42.04716191778604,-0.215243596,-0.2491729,0.6724197302082842,37.643363172574766,34.953684251741635,0.003477043,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
10-10-2017,36.41705992087005,36.86976520256019,36.19304308830553,36.37972259521485,62468000,36.82105064,33.56874135971069,49.45382500981687,-0.182069184,-0.235752157,0.6068122359848127,37.45427617485048,35.02702723091124,0.000384871,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
11-10-2017,36.39606125923776,36.63174646571717,36.34472332346069,36.53140640258789,67622400,36.854125595092775,33.61711756706238,61.66891031252075,-0.141902841,-0.216982294,0.5631714542406415,37.33082498703353,35.07813917007096,0.00416946,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
12-10-2017,36.484739694715245,36.72275716962759,36.34005842645517,36.40306473,64500400,36.85167381286621,33.663999280929566,66.32266307601017,-0.119054439,-0.197396723,0.5388848584548157,37.25564943187545,35.10010999805619,-0.003513187,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
13-10-2017,36.57342017035663,36.70176505,36.49874905072944,36.63409423828125,65576800,36.861141204833984,33.71261236190796,76.30752998370596,-0.08136682,-0.174190742,0.4825750651552469,37.10931097,35.17901071258502,0.00634643,2018,2017,10,265595000000.0,164888000000.0,39748000000.0,25198000000.0
